id,first_name,last_name,email,registration_date,is_active,address,phone_number
610dfcb5-5f17-403f-906f-642bca34ba8f,Юлия,Савельев,felikssitnikov@gmail.com,2021-07-28,True,"с. Пермь, бул. Мельничный, д. 4/9, 452317",8 (752) 699-53-55
2a1c0083-a0ab-4711-8ad8-2ad223b7a883,Аверкий,Трофимов,ilarion_83@isakov.edu,2024-07-18,False,"ст. Баргузин, наб. Маркса Карла, д. 3/5 к. 2/2, 491372",8 306 431 7940
8d3f1b79-675b-45bd-9913-d4819ae684d4,Ростислав,Веселова,ippolit_1995@ao.com,2023-11-05,False,"г. Тихвин, пр. Огородный, д. 1, 973117",+7 (464) 276-9546
0613a59b-44b7-458b-abe9-2deeb3b07c4d,Валентин,Полякова,tbobrov@rambler.ru,2025-05-29,True,"клх Можайск, пер. Рылеева, д. 394 стр. 778, 923483",8 663 427 6144
be043615-03f0-4edc-be91-d3075f27c5c1,Леонтий,Архипов,askold1997@ao.edu,2021-12-20,False,"клх Красноуральск, ул. Средняя, д. 6/7 стр. 3, 068470",8 196 749 0189
93d94658-e78e-442f-8e16-84435ac38aad,Нинель,Носов,moise_59@gmail.com,2025-03-29,False,"д. Нарьян-Мар, ул. Черемуховая, д. 79 к. 36, 319813",+7 791 174 84 67
9f8b1884-3fcf-4eae-97eb-f32e209eaefb,Митофан,Егоров,fedotovleonid@hotmail.com,2020-08-28,False,"клх Качканар, бул. Южный, д. 2/9 к. 2, 211339",+7 501 860 37 11
e2b19e37-0f73-43fa-93b6-e7efe3019f14,Исай,Фролов,tihon_2001@ip.edu,2024-03-12,True,"п. Старый Оскол, ул. Запорожская, д. 4/1 к. 6/4, 496040",8 527 263 58 76
50353971-4790-4528-a3da-58f7d18329da,Корнил,Щербаков,budimir1999@oao.edu,2022-09-29,True,"д. Двинской, наб. Разина, д. 8 стр. 3/7, 715295",+7 (749) 227-22-53
7f840dc9-b302-4f02-836c-bf9d6aee58c1,Филимон,Лукина,stojan70@hotmail.com,2020-11-25,True,"г. Юрьевец (Иван.), наб. Дружбы, д. 5 к. 9, 666726",8 (155) 881-37-89
70afe152-3efc-499d-8328-7ce410c350f4,Ладислав,Щербакова,ivansamsonov@yahoo.com,2024-10-11,True,"п. Соликамск, бул. Белинского, д. 96, 105911",8 437 461 5421
e5ac1e91-e341-4892-a53a-6d7441fc74ac,Никифор,Ситникова,apollinari1985@rambler.ru,2024-12-24,True,"д. Байкальск, бул. Приморский, д. 6 к. 2, 724030",+7 225 730 0740
20ed533d-1c6a-490b-a3e6-58fedf8f9e02,Климент,Пономарев,ratibor1988@ip.org,2021-09-30,True,"г. Бронницы, пер. 30 лет Победы, д. 9, 301386",+7 (160) 388-85-66
f6588d28-b062-403a-9b7f-580989881c68,Виталий,Семенова,makarovaelena@mostransavto.net,2021-01-06,True,"с. Амдерма, наб. Гаражная, д. 14, 191139",8 (915) 018-9808
aa4f5e3a-b1ac-4b94-9fb9-21fbf2d9c1c1,Изот,Наумова,kornilovsila@ip.ru,2024-06-17,True,"д. Сосногорск, алл. Баумана, д. 24 к. 24, 892496",+7 (243) 966-89-92
83ec2750-b9d4-41cf-98c5-3ebe2ba7d9a9,Алексей,Рябова,izot_1979@isakov.net,2024-09-07,True,"г. Зеленоград, ш. Овражное, д. 8/7 стр. 84, 879578",+7 (602) 530-5198
0f734b57-a17e-4c33-a6e8-85a9dde9575f,Дементий,Пономарев,lev2000@rambler.ru,2024-03-21,False,"клх Карабулак, бул. Бульварный, д. 6 к. 1/1, 622845",83581069973
d881d6de-ee9e-4746-bb36-50e3ed774f85,Фотий,Панова,bolshakovavera@mail.ru,2023-09-06,True,"д. Чехов, алл. Веселая, д. 70, 389270",8 (606) 508-7629
1411b3c5-37d3-466e-b8e7-417406d2da07,Изот,Попова,dmitri_1985@prokter.info,2022-06-05,False,"д. Березники, бул. Леонова, д. 83 к. 718, 948439",+7 (270) 542-97-76
953b2358-3d67-4c2b-aa69-632eda47bd80,Антонин,Калинина,novikovgeorgi@ao.biz,2023-07-17,True,"г. Орел, ш. Верхнее, д. 66 к. 5, 170543",+75861299123
6c7da293-e588-4577-8a5d-f75da7d0e673,Тамара,Крылов,sfedoseeva@yandex.ru,2022-01-08,True,"г. Краснотурьинск, алл. Коммунальная, д. 7 к. 2/6, 225778",8 (640) 425-14-12
dc60b1e4-f2b1-467c-b47d-5cda73cc7bf0,Мокей,Фадеева,platon21@titov.net,2020-08-18,False,"г. Энгельс, пр. Казачий, д. 1, 024636",+7 (481) 708-89-82
881abc42-288e-4a70-b431-d74ca83e2fe7,Маргарита,Меркушева,vladilen_1981@evdokimova.org,2021-12-08,True,"ст. Териберка, пер. Камский, д. 613 к. 693, 645380",+71856613956
b3a73c12-7867-4550-831b-d59ffd56b257,Вероника,Шарова,qkrilova@zimina.info,2021-05-27,True,"к. Баксан, ш. Кошевого, д. 1/8, 618711",8 (943) 880-6595
3e7db53d-d627-4827-a400-67fdf98f5735,Гаврила,Тарасов,nikolakondratev@galkina.info,2022-12-31,True,"п. Орел, пр. Трактовый, д. 106 стр. 5, 164066",8 (969) 955-04-54
2a48ab9f-706c-4aac-8260-a799a328ce1e,Игнатий,Соколов,adrianbaranov@yakushev.info,2022-05-14,True,"г. Нижневартовск, ш. Прудовое, д. 2, 312058",8 (400) 327-0252
3b60d9e7-5394-45a6-aca0-4ae67f744a09,Василиса,Николаев,amos_1970@ooo.edu,2020-08-24,False,"ст. Раменское, бул. Сплавный, д. 9, 192033",+77833731817
aa1f43fd-0acf-49ee-9086-05272596f918,Людмила,Большакова,burovvadim@oao.info,2020-07-17,True,"г. Шереметьево, алл. Плеханова, д. 9 к. 86, 159394",8 341 082 85 28
f6134bb4-ec10-41c0-92c5-b98eabdb7b35,Архип,Королев,seliverst_54@gmail.com,2021-04-30,True,"п. Усть-Калманка, ул. Механическая, д. 873, 136403",+70795995898
1b3a3661-186a-41c4-bae6-9e4836726045,Глеб,Мясников,emmanuil2016@rao.ru,2023-06-06,True,"г. Жигулевск, алл. Куйбышева, д. 415 стр. 919, 210660",8 (450) 069-4728
134de13c-b271-4653-a9ed-3b4cae449426,Сократ,Лукин,mefoditeterin@npo.edu,2025-06-17,True,"с. Усть-Джегута, ш. Морозова, д. 84 стр. 2/8, 250251",+7 424 358 0268
15d9ac75-92c5-4510-bf66-8acf376a2e9e,Рубен,Евдокимова,longin_2006@rambler.ru,2022-12-12,True,"клх Куртамыш, ш. Весеннее, д. 7 к. 755, 064331",8 (754) 162-34-56
97587619-9bd9-4d44-a77c-03b09036815f,Валерия,Моисеев,qrusakova@mail.ru,2023-02-22,False,"клх Видное, пер. Саратовский, д. 7/2 стр. 3/3, 012180",8 114 634 9776
36f9406a-6286-4542-8493-12d44f6efdd5,Валерий,Князев,jsubbotin@ooo.info,2025-03-25,False,"д. Сибай, пр. Депутатский, д. 64, 409066",+7 075 206 1995
0132aef6-7931-48dd-a310-ba507c04d098,Платон,Юдина,mark1979@hotmail.com,2023-12-10,True,"ст. Хоста, бул. Щетинкина, д. 9, 966852",8 828 794 82 79
39016edd-2b3d-4f58-b13d-24c917e48dec,Аполлон,Веселова,golubevaoksana@yahoo.com,2021-04-12,True,"г. Ивдель, алл. Некрасова, д. 9, 472572",8 (055) 268-8178
